Fre(kHz),Re,Im
-399.971008300781,0.38885363331043,0.365696674513388,ZeroPoint:Tj,62,0.002
-399.7802734375,0.391356858170816,0.368820949304241,Const.;stime,2.16769848,6.4E-07
-399.589538574219,0.396654373341935,0.367811195821976,Fre.Range:Tau,-400:400,1.5E-05
-399.398803710938,0.393484237638664,0.364444203614904,FFTSize:DataSize:Firstpul,8192:8192,5E-07
-399.208068847656,0.390984117815169,0.373322311935434,100usF002,Freq.=141410000
-399.017333984375,0.393996539303483,0.369126098505916
-398.826599121094,0.396014088573427,0.368147086063907
-398.635864257813,0.392898868824734,0.369089880998228
-398.445129394531,0.396385631558655,0.370003094500386
-398.25439453125,0.397840178235731,0.366265533824141
-398.063659667969,0.390899721821338,0.372213182162863
-397.872924804688,0.393866946774575,0.371613264921527
-397.682189941406,0.392543118037114,0.372911125572184
-397.491455078125,0.394067641672516,0.376680602427776
-397.300720214844,0.394052267096305,0.36943194505988
-397.109985351563,0.396010195678871,0.377866762291433
-396.919250488281,0.40204474521209,0.371330120017157
-396.728515625,0.396424564143541,0.376126592576296
-396.537780761719,0.401005688042745,0.373536974442442
-396.347045898438,0.397958816088155,0.377305969990173
-396.156311035156,0.400396949793728,0.380326691679475
-395.965576171875,0.399461145787736,0.374794791402915
-395.774841308594,0.398618862482619,0.380420402536743
-395.584106445313,0.397967864527259,0.378685018857967
-395.393371582031,0.399278996594409,0.381142507313416
-395.20263671875,0.404956836862684,0.380773166962955
-395.011901855469,0.406477999847713,0.38379716187854
-394.821166992188,0.403360362658338,0.384688499124744
-394.630432128906,0.40437612905667,0.384128423584625
-394.439697265625,0.399341721103177,0.380583095136395
-394.248962402344,0.401040124741149,0.384072841120048
-394.058227539063,0.400942798478953,0.386248600907933
-393.867492675781,0.411523385990749,0.387268789466961
-393.6767578125,0.403080567771741,0.380728874113495
-393.486022949219,0.405355361503345,0.38891427985105
-393.295288085938,0.402552415486031,0.384201273221598
-393.104553222656,0.396393236878259,0.387271444495291
-392.913818359375,0.403935774080187,0.39475024191424
-392.723083496094,0.39932561006245,0.396360868703329
-392.532348632813,0.401509030611202,0.393403859881845
-392.341613769531,0.404334686536917,0.391203317128976
-392.15087890625,0.404300144093368,0.393431013519973
-391.960144042969,0.404950618429808,0.391062981985666
-391.769409179688,0.404263319722122,0.391567440149293
-391.578674316406,0.406589906779438,0.387611599993005
-391.387939453125,0.404838304433132,0.395862466242971
-391.197204589844,0.403876453563768,0.389630638552231
-391.006469726563,0.403956953595025,0.397057817978172
-390.815734863281,0.408652051760103,0.394829372945142
-390.625,0.402729060152163,0.399593579612814
-390.434265136719,0.40439484330397,0.398589238937654
-390.243530273438,0.403494228418866,0.399485969132497
-390.052795410156,0.401984902135716,0.395052045927673
-389.862060546875,0.404844544319704,0.398925000660558
-389.671325683594,0.405038045857309,0.405608150569228
-389.480590820313,0.408100549869185,0.407639776573485
-389.289855957031,0.399699616795624,0.400135523126311
-389.09912109375,0.402722252401173,0.394999669080992
-388.908386230469,0.398720971145104,0.404775143938177
-388.717651367188,0.402293840216526,0.397679529238456
-388.526916503906,0.398534017540151,0.407459459130307
-388.336181640625,0.407042749679921,0.407878141403147
-388.145446777344,0.403829091366767,0.406767642819195
-387.954711914063,0.402596503692684,0.409727968936749
-387.763977050781,0.401786813538706,0.40233900590982
-387.5732421875,0.407707885098222,0.413374171470786
-387.382507324219,0.405364273746949,0.405722944128907
-387.191772460938,0.415628936509206,0.406753509952571
-387.001037597656,0.397501530257308,0.409726811703673
-386.810302734375,0.399979640813797,0.414674367762495
-386.619567871094,0.389020128011271,0.410322537887985
-386.428833007813,0.397422714263675,0.411251299515252
-386.238098144531,0.405977834187622,0.403354939805108
-386.04736328125,0.406458378358627,0.407968848199464
-385.856628417969,0.401800428355409,0.411294029286965
-385.665893554688,0.397086481506141,0.412410461328589
-385.475158691406,0.402358031850969,0.407768062893726
-385.284423828125,0.401249892350726,0.41435339981529
-385.093688964844,0.399730307331943,0.418529749180136
-384.902954101563,0.397477944020726,0.418830136461418
-384.712219238281,0.40057616746051,0.414904559699774
-384.521484375,0.393690680779348,0.420281031574794
-384.330749511719,0.403098442436222,0.412966004979413
-384.140014648438,0.400292421216436,0.421560631498011
-383.949279785156,0.401920052598268,0.41679844093385
-383.758544921875,0.408009784507298,0.421289462051401
-383.567810058594,0.396292717729051,0.41759137195363
-383.377075195313,0.394064573997253,0.416859484331267
-383.186340332031,0.4013213296115,0.408937217073708
-382.99560546875,0.402651093881335,0.412428386503394
-382.804870605469,0.402002804540121,0.406979375130628
-382.614135742188,0.402084265134364,0.427528469689605
-382.423400878906,0.406899125262433,0.422116081708249
-382.232666015625,0.394493942053526,0.415640686372876
-382.041931152344,0.398221822288161,0.418038197676412
-381.851196289063,0.396835652906796,0.414577928235339
-381.660461425781,0.391550263397662,0.4223934291381
-381.4697265625,0.402353573701076,0.427132366524356
-381.278991699219,0.391036215952457,0.432383327531685
-381.088256835938,0.394399326220823,0.420722648474442
-380.897521972656,0.394589984804359,0.421156384101042
-380.706787109375,0.403000386416668,0.423954782482637
-380.516052246094,0.403677936640796,0.414975137634755
-380.325317382813,0.41005351632124,0.42553901084801
-380.134582519531,0.409327033413727,0.422958256788656
-379.94384765625,0.39593395691466,0.415012367469571
-379.753112792969,0.400637718672475,0.419299209939514
-379.562377929688,0.386810832926185,0.413435620422077
-379.371643066406,0.399926692998763,0.425401697074346
-379.180908203125,0.395073903194761,0.40868651801465
-378.990173339844,0.398653253602453,0.427702022319166
-378.799438476563,0.396567409179329,0.425772935761973
-378.608703613281,0.389846742272384,0.426791577315808
-378.41796875,0.409420825364497,0.426206114140922
-378.227233886719,0.390231249758581,0.421598484393163
-378.036499023438,0.405799149072028,0.420861991087335
-377.845764160156,0.395652142026847,0.431914252679283
-377.655029296875,0.409120938184051,0.42743437132163
-377.464294433594,0.389908555410782,0.429915772720885
-377.273559570313,0.408093091510613,0.432816777758032
-377.082824707031,0.396880156838029,0.430417932367456
-376.89208984375,0.390723639612124,0.445074442538528
-376.701354980469,0.403429027550425,0.43251719082889
