Fre(kHz),Re,Im
-39.8635864257813,2.3684374740933,1.31293976592533,ZeroPoint:Tj,59,1.6
-39.6728515625,0.996556937669304,7.75279292921732,Const.;stime,21.80264848,6.4E-07
-39.4821166992188,1.3272887162166,1.58232232425225,Fre.Range:Tau,-40:40,1.5E-05
-39.2913818359375,5.63697319880023,5.95582861853325,FFTSize:DataSize:Firstpul,8192:8192,8E-07
-39.1006469726563,1.27029950322859,3.5181483771136,71k0118fidF1600,Freq.=139776000
-38.909912109375,4.04115404533199,4.7952111898995
-38.7191772460938,-0.171443848845569,5.56635378284318
-38.5284423828125,0.664327604885297,0.179876327108078
-38.3377075195313,2.98873903570557,6.94228723074718
-38.14697265625,2.62822586726219,0.907312330362223
-37.9562377929688,-1.49117735007456,6.20644043270739
-37.7655029296875,-2.54502316627394,0.939443063600535
-37.5747680664063,2.09046236877152,4.08843768790333
-37.384033203125,5.49772628028449,-0.301102263230144
-37.1932983398438,11.0094781307569,3.36921844046498
-37.0025634765625,0.607857621017481,2.4831038283038
-36.8118286132813,-0.2032455597629,0.71819309605087
-36.62109375,1.58083929119807,2.74218968458085
-36.4303588867188,1.71131630105695,6.30307957771253
-36.2396240234375,7.6977622155537,2.56473771857197
-36.0488891601563,5.28674084873105,3.90918185189972
-35.858154296875,-1.05724547151544,4.94028471935545
-35.6674194335938,-2.56966284106198,0.027257976036282
-35.4766845703125,5.77686478039952,0.835549125141337
-35.2859497070313,4.1496403415565,4.02446929018314
-35.09521484375,3.92688901753633,3.33284613777468
-34.9044799804688,1.30887517879263,3.44752710872193
-34.7137451171875,1.65451353451509,1.17789233012158
-34.5230102539063,5.63871637067277,6.27280423399662
-34.332275390625,7.93960924301657,-0.192407279104036
-34.1415405273438,4.88089427343338,4.19481697004889
-33.9508056640625,4.78719507851519,2.1413522811643
-33.7600708007813,-0.106617941722614,6.35442828975847
-33.5693359375,-0.894569602979098,0.712729023430435
-33.3786010742188,3.31965468802952,5.52870828793113
-33.1878662109375,-0.667472086665336,0.607859554558937
-32.9971313476563,1.91751074833829,-1.25133648144241
-32.806396484375,0.919972543465235,0.997428697692093
-32.6156616210938,5.17320464579263,0.124505639709907
-32.4249267578125,6.07545169733667,4.31920559188417
-32.2341918945313,-2.24565939905191,5.30591843936406
-32.04345703125,4.82608251611389,1.45062502261589
-31.8527221679688,0.070775842115551,0.647494147884063
-31.6619873046875,2.08427058310043,1.84847477070826
-31.4712524414063,-0.466174151440551,8.08067017276735
-31.280517578125,0.162748856357324,2.08099878448732
-31.0897827148438,2.29689286163632,1.98872676540794
-30.8990478515625,4.27632788493203,3.19466545967075
-30.7083129882813,6.47356752515487,0.625817737234693
-30.517578125,0.162402643397955,5.74728041642216
