Fre(kHz),Re,Im
-781.059265136719,0.301686411956171,0.0117833888308801,ZeroPoint:Tj,63,9
-780.868530273438,0.301613225876138,0.0118560947623883,Const.;stime,-0.34557512,6.4E-07
-780.677795410156,0.301904422756587,0.0120815246691598,Fre.Range:Tau,-781.2:781.2,1.5E-05
-780.487060546875,0.301744429257097,0.0121836175554864,FFTSize:DataSize:Firstpul,8192:8192,4E-07
-780.296325683594,0.301660073138008,0.0122128965917684,5k2spinF6666,Freq.=141390000
-780.105590820313,0.301782835770516,0.0125362033325566
-779.914855957031,0.301784509794333,0.0126509845781161
-779.72412109375,0.30182257646124,0.0126839753406468
-779.533386230469,0.301868774139098,0.0127651485245915
-779.342651367188,0.301856068847969,0.0129328785892998
-779.151916503906,0.301675791488822,0.013125473001844
-778.961181640625,0.301659990997192,0.0132805017848791
-778.770446777344,0.301750766692458,0.0135335696264343
-778.579711914063,0.30187588735212,0.0136068577655002
-778.388977050781,0.301792084687652,0.0137281376902961
-778.1982421875,0.301967587946739,0.0139389927508218
-778.007507324219,0.30188530783982,0.0140212796899314
-777.816772460938,0.301913533701598,0.0141318532405266
-777.626037597656,0.301783978090525,0.0143293653642849
-777.435302734375,0.301836299125499,0.0146509318659894
-777.244567871094,0.301727559340992,0.0145573929818349
-777.053833007813,0.301911455201057,0.0147402652925688
-776.863098144531,0.301941494407404,0.0149727761066081
-776.67236328125,0.301858361997799,0.0151178432506643
-776.481628417969,0.301738805099668,0.0153425779555764
-776.290893554688,0.301750073952153,0.0152962308406315
-776.100158691406,0.301786940861084,0.0155147181110843
-775.909423828125,0.301916280497245,0.0156332432024838
-775.718688964844,0.301845307910298,0.0158845769628007
-775.527954101563,0.301685066671968,0.0160213263911868
-775.337219238281,0.301909089119818,0.0161170012508378
-775.146484375,0.301955668583008,0.0161694899849783
-774.955749511719,0.301835925020817,0.0165486804175384
-774.765014648438,0.301816796924485,0.0166659961284994
-774.574279785156,0.30180871781394,0.0166204549557603
-774.383544921875,0.301948160902247,0.0170430674243596
-774.192810058594,0.301847523381506,0.0170324375922901
-774.002075195313,0.301839870605865,0.0171886993402532
-773.811340332031,0.301822577441705,0.0173709266891777
-773.62060546875,0.301779722134035,0.01747779550951
-773.429870605469,0.301874896199727,0.0176175683408403
-773.239135742188,0.301675590688047,0.0177282607622345
-773.048400878906,0.301641538721247,0.0177922096110773
-772.857666015625,0.301791666060885,0.0180933593977199
-772.666931152344,0.3017950517989,0.0182190194491304
-772.476196289063,0.301691406680639,0.0182975825908233
-772.285461425781,0.301625678972309,0.0185737823095629
-772.0947265625,0.301765695119345,0.0187337930806028
-771.903991699219,0.301809749065051,0.0189198875280966
-771.713256835938,0.301485497359136,0.0190239695707532
-771.522521972656,0.301644803229299,0.0190709988620622
-771.331787109375,0.301545369007578,0.019356454948733
-771.141052246094,0.30164901654802,0.019550858336486
-770.950317382813,0.301492383048981,0.0194925391016929
-770.759582519531,0.301678460048846,0.0197368949563818
-770.56884765625,0.301490049192984,0.0198406290100342
-770.378112792969,0.301512430641449,0.020155966514493
-770.187377929688,0.301494838449202,0.0200988258744068
-769.996643066406,0.301471922682718,0.0202386168381811
-769.805908203125,0.301420789492166,0.0203283399841364
-769.615173339844,0.301505549358454,0.0205656347696815
-769.424438476563,0.301405499749469,0.0206412987319906
-769.233703613281,0.301508377569865,0.0208756109857006
-769.04296875,0.301482932451901,0.02102738815586
-768.852233886719,0.301302313951701,0.0210777039274453
-768.661499023438,0.301328391487513,0.0211584919617133
-768.470764160156,0.301244774425851,0.0214950481797851
-768.280029296875,0.301296016025877,0.0216601476225168
-768.089294433594,0.301239656946676,0.0216454618950604
-767.898559570313,0.301415457829623,0.021884733096155
-767.707824707031,0.301259299709329,0.0221074947601582
