Fre(kHz),Re,Im
-499.916076660156,0.314620446800756,0.232320235292383,ZeroPoint:Tj,63,1.3
-499.725341796875,0.314461000300401,0.232593255039864,Const.;stime,-0.43982288,6.4E-07
-499.534606933594,0.31432730163188,0.233000610560257,Fre.Range:Tau,-500:500,1.5E-05
-499.343872070313,0.313822801143343,0.232614021103969,FFTSize:DataSize:Firstpul,8192:8192,4E-07
-499.153137207031,0.314363007002518,0.233361001122619,6kspinF6666,Freq.=141390000
-498.96240234375,0.313812842404319,0.233484205726353
-498.771667480469,0.314402053848469,0.234549301592375
-498.580932617188,0.313286439152739,0.234742231366526
-498.390197753906,0.314729775700962,0.234429537969622
-498.199462890625,0.313137618465057,0.23482048409663
-498.008728027344,0.313705151400516,0.23481756947342
-497.817993164063,0.314463768219407,0.234316007414705
-497.627258300781,0.313564840929131,0.235560403538285
-497.4365234375,0.314423797827605,0.235717083983552
-497.245788574219,0.314297402573411,0.236074614747138
-497.055053710938,0.313676883123245,0.235946768976402
-496.864318847656,0.313143217586798,0.235720061490649
-496.673583984375,0.313773196659068,0.236629864062508
-496.482849121094,0.31470462961738,0.236335158872283
-496.292114257813,0.313914607518845,0.236589883812391
-496.101379394531,0.31442106040273,0.237800729707082
-495.91064453125,0.313257074137388,0.23727651218699
-495.719909667969,0.315249110640247,0.237208760658655
-495.529174804688,0.313393572923867,0.238085074785641
-495.338439941406,0.313408147220455,0.238186318925417
-495.147705078125,0.313264754078493,0.238588858623181
-494.956970214844,0.312788990250181,0.237630784969874
-494.766235351563,0.313479789267661,0.238327562789998
-494.575500488281,0.314264906879759,0.239029475184403
-494.384765625,0.314071378761222,0.238287019760076
-494.194030761719,0.313493340763869,0.238931402863761
-494.003295898438,0.312908038324297,0.239892034903973
-493.812561035156,0.313509625183975,0.239061388315993
-493.621826171875,0.31296407537249,0.240066124806174
-493.431091308594,0.313541855443681,0.239659918353203
-493.240356445313,0.313257022245901,0.239509136860316
-493.049621582031,0.313065647475148,0.240823167732448
-492.85888671875,0.313729872341371,0.239907410762999
