Fre(kHz),Re,Im
-39.8635864257813,3.38656290570825,4.47414792766693,ZeroPoint:Tj,58,2
-39.6728515625,1.21854008701956,4.55615235591807,Const.;stime,2.6703532,6.4E-07
-39.4821166992188,7.40147054933395,5.36987381431778,Fre.Range:Tau,-40:15,1.5E-05
-39.2913818359375,0.363824746356324,1.30883766147157,FFTSize:DataSize:Firstpul,8192:8192,8E-07
-39.1006469726563,5.29909438939132,6.23990077788288,73KcurrentF1020,Freq.=139776000
-38.909912109375,3.24619150458349,6.62297241885172
-38.7191772460938,1.033568552943,3.42751770597297
-38.5284423828125,2.2605229995734,7.39482406176977
-38.3377075195313,2.04329093466278,5.34833717021186
-38.14697265625,1.79200629227405,2.32322677610107
-37.9562377929688,-2.72818881284125,-0.269028342586584
-37.7655029296875,3.76861000499936,0.798604803960016
-37.5747680664063,0.700316039367431,4.72178557595247
-37.384033203125,5.32773765903251,7.05148348455128
-37.1932983398438,5.42529215774901,1.51714532362984
-37.0025634765625,1.63512064244128,6.24136263382493
-36.8118286132813,6.50506407970153,2.96751248882433
-36.62109375,5.974210727873,5.50685809266012
-36.4303588867188,0.450757549382046,2.92906373359289
-36.2396240234375,-2.8322989241628,4.52313679979553
-36.0488891601563,4.28928513253251,3.13370385884091
-35.858154296875,1.11390085209486,-0.682058485318391
-35.6674194335938,3.69567053032674,3.52707787365857
-35.4766845703125,4.6390998614737,5.94567435506759
-35.2859497070313,3.69044371018388,1.9081676726831
-35.09521484375,6.00917190858746,-3.32100151922621
-34.9044799804688,5.61110595169114,-0.660138366803799
-34.7137451171875,3.03964157061225,5.75715934534476
-34.5230102539063,6.46315786306763,4.20414197795839
-34.332275390625,2.7435742193717,2.30786396743139
-34.1415405273438,2.7530193931743,4.22095227533293
-33.9508056640625,2.32014767483923,3.35066829630287
-33.7600708007813,4.16180242696911,6.57420838967279
-33.5693359375,6.12490667628834,4.95699209047787
-33.3786010742188,4.01187907165345,2.32112583507386
-33.1878662109375,2.76147632091836,2.78396165470268
-32.9971313476563,1.73281511982829,6.62316667887497
-32.806396484375,1.67775193343016,1.54900645657725
-32.6156616210938,2.01951794432849,3.86728219403242
-32.4249267578125,1.61655860614582,2.0503663161925
-32.2341918945313,7.88561265399978,4.09994915352778
-32.04345703125,-2.50893606718576,3.88566402492938
-31.8527221679688,5.88755058415423,7.93079274102373
-31.6619873046875,3.63313286964221,3.062158827457
-31.4712524414063,2.0843164265529,1.85301766127838
-31.280517578125,4.4023680804189,3.69672608197162
-31.0897827148438,6.25045409314274,0.321694745564344
-30.8990478515625,2.13918740649203,0.171342088768935
-30.7083129882813,-0.782215997484621,5.24768731028507
-30.517578125,7.00265767309171,2.20356330812493
-30.3268432617188,1.19827322653548,5.7735513751957
-30.1361083984375,4.72713002445749,2.93999779029869
-29.9453735351563,4.21618766393048,1.30602586944517
-29.754638671875,2.899453962831,1.88744107393387
-29.5639038085938,2.78907021983119,6.16559897207467
-29.3731689453125,1.46566353262695,4.18195595089721
-29.1824340820313,2.33130895247907,2.86917575140754
-28.99169921875,3.97718674152559,3.35969090561738
-28.8009643554688,1.01293889807537,3.58688310986496
-28.6102294921875,-1.88760403251405,8.42718949980075
-28.4194946289063,6.26065881058558,1.43648502525154
-28.228759765625,3.78751695411751,2.60887382867454
-28.0380249023438,4.7868870535668,5.13250854526274
-27.8472900390625,3.19627178849039,6.37815395215597
-27.6565551757813,4.37714421256998,1.6875031358992
-27.4658203125,2.55524479914408,1.88761008308242
-27.2750854492188,4.05762440823333,8.22158699306824
-27.0843505859375,4.10046770659404,4.58392941258889
-26.8936157226563,5.72056711045327,5.17121731556517
-26.702880859375,7.43186395152383,6.05982388711123
-26.5121459960938,2.82278646903034,7.25259211279144
-26.3214111328125,5.43449390982276,5.76544361765355
-26.1306762695313,4.56249438846258,4.53333733380273
-25.93994140625,1.98656960271188,2.62141508180432
-25.7492065429688,7.22230044728277,2.1662818785392
-25.5584716796875,4.58820619703829,6.77573843575311
-25.3677368164063,5.96375524785654,9.56945387019536
-25.177001953125,6.01970408040871,6.23595914287704
-24.9862670898438,1.2625948383513,4.53279003851225
-24.7955322265625,4.21427866073197,7.80806660917355
-24.6047973632813,0.578458274284029,4.3455486315991
-24.4140625,6.91586310807423,5.13144500125116
-24.2233276367188,3.88139706776826,4.28048476370746
